Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Header.stamp.secs,Offset_UTM_easting,Offset_UTM_northing
1663962276.38429,0,71076,0,GPS1_Frame,42.3336233333333,-71.08859,16.7,327930.787533636,4688931.67769875,19,T,1169,930.787533636496,431.677698748186
1663962277.37834,0,71077,0,GPS1_Frame,42.3336133333333,-71.08858,16.8,327931.584149836,4688930.547041,19,T,1170,931.584149835864,430.547041003592
1663962278.38451,0,71078,0,GPS1_Frame,42.3336033333333,-71.08857,16.6,327932.380766301,4688929.41638336,19,T,1171,932.380766301299,429.416383355856
1663962279.34595,0,71079,0,GPS1_Frame,42.3335933333333,-71.0885616666667,16.6,327933.040068302,4688928.2890982,19,T,1172,933.040068302304,428.28909820132
1663962280.3468,0,71080,0,GPS1_Frame,42.333585,-71.0885533333333,16.6,327933.703915763,4688927.34688364,19,T,1173,933.703915762948,427.346883640625
1663962281.34436,0,71081,0,GPS1_Frame,42.3335766666667,-71.0885466666667,16.8,327934.230448642,4688926.40804152,19,T,1174,934.23044864164,426.408041519113
1663962282.41207,0,71082,0,GPS1_Frame,42.33357,-71.0885416666667,16.9,327934.624212096,4688925.65764233,19,T,1175,934.624212096096,425.657642326318
1663962283.34987,0,71083,0,GPS1_Frame,42.333565,-71.0885366666667,17,327935.022520839,4688925.09231368,19,T,1176,935.022520838713,425.09231368266
1663962284.34546,0,71084,0,GPS1_Frame,42.3335633333333,-71.088535,17.1,327935.155290436,4688924.90387081,19,T,1177,935.155290435767,424.903870807961
1663962285.34866,0,71085,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1178,935.155290435767,424.903870807961
1663962286.34959,0,71086,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1179,935.155290435767,424.903870807961
1663962287.34767,0,71087,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1180,935.155290435767,424.903870807961
1663962288.38427,0,71088,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1181,935.155290435767,424.903870807961
1663962289.34687,0,71089,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1182,935.155290435767,424.903870807961
1663962290.34476,0,71090,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1183,935.155290435767,424.903870807961
1663962291.38807,0,71091,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1184,935.155290435767,424.903870807961
1663962292.3479,0,71092,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1185,935.155290435767,424.903870807961
1663962293.34608,0,71093,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1186,935.155290435767,424.903870807961
1663962294.38522,0,71094,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1187,935.155290435767,424.903870807961
1663962295.34512,0,71095,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1188,935.155290435767,424.903870807961
1663962296.34558,0,71096,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1189,935.155290435767,424.903870807961
1663962297.34616,0,71097,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1190,935.155290435767,424.903870807961
1663962298.35085,0,71098,0,GPS1_Frame,42.3335633333333,-71.088535,17,327935.155290436,4688924.90387081,19,T,1191,935.155290435767,424.903870807961
